Date,Net Clicks,Install Clicks,Uninstall Clicks
2022-04-12,12,18,6
2022-04-13,13,24,11
2022-04-14,11,20,9
2022-04-15,8,20,12
2022-04-16,18,26,8
2022-04-17,18,32,14
2022-04-18,13,40,27
2022-04-19,14,46,32
2022-04-20,22,50,28
2022-04-21,12,28,16
2022-04-22,17,28,11
2022-04-23,13,26,13
2022-04-24,12,24,12
2022-04-25,8,34,26
2022-04-26,15,47,32
2022-04-27,12,35,23
2022-04-28,19,35,16
2022-04-29,11,30,19
2022-04-30,22,32,10
2022-05-01,17,32,15
2022-05-02,10,21,11
2022-05-03,6,9,3
2022-05-04,16,22,6
2022-05-05,11,16,5
2022-05-06,13,17,4
2022-05-07,9,19,10
2022-05-08,8,12,4
2022-05-09,9,13,4
2022-05-10,10,16,6
2022-05-11,5,9,4
2022-05-12,10,13,3
2022-05-13,10,16,6
2022-05-14,10,14,4
2022-05-15,9,12,3
2022-05-16,17,23,6
2022-05-17,8,10,2
2022-05-18,12,19,7
2022-05-19,11,18,7
2022-05-20,8,10,2
2022-05-21,12,19,7
2022-05-22,9,17,8
2022-05-23,10,24,14
2022-05-24,12,40,28
2022-05-25,10,22,12
2022-05-26,11,29,18
2022-05-27,11,24,13
2022-05-28,11,24,13
2022-05-29,18,27,9
2022-05-30,17,21,4
2022-05-31,19,41,22
2022-06-01,14,51,37
2022-06-02,6,24,18
2022-06-03,10,21,11
2022-06-04,14,27,13
2022-06-05,13,21,8
2022-06-06,14,24,10
2022-06-07,7,16,9
2022-06-08,18,22,4
2022-06-09,9,16,7
2022-06-10,16,19,3
2022-06-11,10,21,11
2022-06-12,13,20,7
2022-06-13,10,19,9
2022-06-14,12,15,3
2022-06-15,6,8,2
2022-06-16,14,19,5
2022-06-17,3,8,5
2022-06-18,17,23,6
2022-06-19,11,19,8
2022-06-20,11,12,1
2022-06-21,9,15,6
2022-06-22,12,35,23
2022-06-23,8,16,8
2022-06-24,10,15,5
2022-06-25,6,7,1
2022-06-26,14,16,2
2022-06-27,7,11,4
2022-06-28,13,14,1
2022-06-29,7,9,2
2022-06-30,12,12,0
2022-07-01,15,19,4
2022-07-02,7,13,6
